answer_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,962,500,366,254,335,724,1632,3327,5293,6688,7071,7123,7071,6514,6172,6514,6784,6656,6162,5825,5311,4911,3440,1884
Yes,467,223,152,122,154,368,942,2012,3185,3870,4006,3998,3641,3451,3555,3655,4142,4359,3638,3226,2890,2469,1691,929
