first_use,1,2,3,4,5,6,7,8,9,10
No,115.0,134.0,154.0,102.0,161.0,188.0,168.0,201.0,201.0,182.0
Yes,65.0,64.0,67.0,75.0,84.0,59.0,94.0,73.0,73.0,73.0
