first_use,1,2,3,4,5,6,7,8,9,10
No,115.0,100.0,119.0,112.0,111.0,174.0,198.0,218.0,237.0,221.0
Yes,53.0,76.0,46.0,55.0,71.0,73.0,71.0,97.0,92.0,93.0
