got_response,1,2,3,4,5,6,7,8,9,10
No,64.0,105.0,130.0,161.0,159.0,208.0,200.0,199.0,204.0,177.0
Yes,47.0,67.0,58.0,70.0,77.0,72.0,91.0,86.0,65.0,93.0
