type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),50.0,552.0,577.0,627.0,497.0,480.0,376.0,321.0,339.0,140.0
Councillors,2778.0,3614.0,3763.0,3776.0,3639.0,3643.0,3378.0,3252.0,3256.0,2672.0
Lords,72.0,69.0,85.0,117.0,142.0,135.0,116.0,143.0,110.0,81.0
MEP,872.0,1438.0,1247.0,1698.0,1821.0,1678.0,2006.0,1811.0,1781.0,2069.0
MP,3889.0,4515.0,5492.0,6473.0,7212.0,7480.0,7720.0,7790.0,8098.0,8458.0
