answer_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,7358,7894,13326,10363,9820,11953,7702,8325,6643,11115,3829,3191
Yes,4693,4803,8843,5283,4594,7184,4321,4231,4113,7434,1031,615
