year,1,2,3,4,5,6,7,8,9,10
2007,329.0,278.0,262.0,220.0,297.0,329.0,322.0,331.0,407.0,420.0
2008,330.0,338.0,330.0,268.0,404.0,384.0,394.0,447.0,503.0,537.0
2009,394.0,439.0,394.0,381.0,461.0,468.0,455.0,626.0,595.0,647.0
2010,248.0,320.0,284.0,243.0,316.0,352.0,366.0,394.0,446.0,445.0
2011,247.0,302.0,269.0,244.0,326.0,384.0,383.0,400.0,462.0,489.0
2012,270.0,265.0,241.0,231.0,299.0,319.0,402.0,331.0,362.0,376.0
2013,247.0,296.0,253.0,297.0,335.0,367.0,482.0,425.0,441.0,488.0
2014,205.0,170.0,167.0,196.0,215.0,222.0,327.0,271.0,280.0,293.0
2015,237.0,249.0,221.0,242.0,292.0,328.0,395.0,403.0,416.0,424.0
2016,258.0,266.0,327.0,279.0,347.0,459.0,554.0,446.0,537.0,531.0
2017,225.0,204.0,224.0,212.0,250.0,312.0,434.0,302.0,397.0,361.0
2018,146.0,186.0,151.0,140.0,163.0,247.0,242.0,261.0,257.0,258.0
2019,192.0,219.0,222.0,227.0,248.0,280.0,346.0,354.0,436.0,386.0
2020,399.0,449.0,432.0,387.0,531.0,588.0,709.0,597.0,684.0,779.0
