gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,2479,1912,1668,1697,1512,1629,1424,1748,1777,1841
Male Sender,3213,2552,2276,2361,2133,3116,2286,2545,2875,2894
