year,No,Yes
2007,25752,62557
2008,30766,63825
2009,38750,85285
2010,35278,64532
2011,37125,65115
2012,35287,54170
2013,46932,49489
2014,23717,38314
2015,33257,46329
2016,41852,58515
2017,32407,46351
2018,23105,38012
2019,29436,45829
2020,74314,93878
