gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,18045,19706,21161,23443,28026,29843,35462,37493,39649,48651
Male Representatives,45191,56830,65610,71271,79048,82771,91321,97146,104940,117962
