first_use,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,33277,34746,47861,38649,39385,32727,34406,25162,31214,40503,31784,24081,31561,54314
Yes,29280,29079,37424,25883,25730,21443,15083,13152,15115,18012,14567,13931,14268,39564
