gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1068.0,1372.0,1387.0,1533.0,1505.0,1487.0,1628.0,1542.0,2165.0,2955.0
Male Representatives,2836.0,3315.0,3489.0,4307.0,4888.0,5591.0,6377.0,7074.0,7130.0,8587.0
