gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,750.0,708.0,769.0,811.0,1083.0,908.0,1124.0,888.0,1050.0,859.0
Male Representatives,2755.0,3030.0,2654.0,2443.0,3154.0,3855.0,4343.0,4394.0,4710.0,5118.0
