gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,23830,31733,36016,34884,33307,33949,33785,34706,32067,35170
Male Representatives,56647,61746,67049,80222,90291,100375,105076,109329,114399,123839
