year,1,2,3,4,5,6,7,8,9,10
2007,7612,7693,7818,7871,7882,8116,8108,8266,8195,8239
2008,8328,8319,8398,8260,8260,8447,8673,8648,8526,8855
2009,10578,10396,10682,10885,10972,11008,11311,11628,11682,11989
2010,8632,8497,8811,8960,8920,8892,9148,9299,9334,10025
2011,8105,8166,8407,8664,9074,9181,9690,10030,10476,11212
2012,7477,7612,7952,7980,7878,8112,8128,8572,8388,8899
2013,7809,7825,8108,8414,8463,8737,9121,9078,9262,9719
2014,5261,5452,5326,5557,5437,5547,5701,5736,5700,6007
2015,6469,6611,6766,6844,7128,6885,7140,7235,7320,7503
2016,7862,8378,8766,8838,9041,8939,9317,9509,9623,9930
2017,5982,6465,6569,7198,7079,6939,7350,7319,7436,7458
2018,4485,4810,4977,5357,5355,5490,5570,6101,6125,6203
2019,5215,5760,5727,6399,6581,6729,7118,7492,7826,8280
2020,12144,13241,13509,14576,14984,15093,15938,16141,17072,17571
