gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,735.0,945.0,605.0,922.0,878.0,857.0,1038.0,1014.0,781.0,1175.0
Male Representatives,6549.0,4514.0,2937.0,2574.0,3111.0,2872.0,2838.0,3403.0,3550.0,4109.0
