year,1,2,3,4,5,6,7,8,9,10
2007,4924,5500,6362,6485,7257,7841,8494,9405,10268,13264
2008,5666,6170,6781,7080,7581,8310,8707,9396,11155,13868
2009,7071,7770,8603,9222,9913,10982,11766,12933,14444,18427
2010,5220,5986,6866,7470,7881,8625,9693,10593,12067,16117
2011,5534,6593,7349,7889,8892,9532,10204,11248,11975,13789
2012,5020,5751,6418,6722,7381,7859,8646,9412,10397,13392
2013,5105,6059,6722,7249,8156,8883,9545,9971,11218,13628
2014,3546,4063,4463,4748,5317,5698,6031,6412,6963,8483
2015,3746,4480,5127,5731,6416,6946,7607,8442,9610,11796
2016,3886,5014,6251,6853,8056,8816,10152,10785,12718,17672
2017,3414,4029,4867,5474,6023,6810,7787,8342,9703,13346
2018,2921,3545,4182,4603,5239,5488,6104,6545,7176,8670
2019,3129,4029,4705,5234,6186,6886,7647,8428,9418,11465
2020,6505,8535,10328,12136,13460,15330,17647,18773,21108,26447
