gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1233,1385,1268,1668,1622,1664,1618,1819,2060,2298
Male Representatives,3027,3072,3347,4340,4724,5648,6286,7121,7283,8765
