year,1,2,3,4,5,6,7,8,9,10
2007,189.0,266.0,275.0,282.0,310.0,300.0,380.0,375.0,401.0,417.0
2008,211.0,276.0,335.0,314.0,384.0,382.0,476.0,525.0,483.0,549.0
2009,260.0,351.0,423.0,434.0,476.0,491.0,575.0,601.0,617.0,631.0
2010,192.0,217.0,267.0,293.0,326.0,338.0,440.0,486.0,436.0,424.0
2011,171.0,215.0,268.0,298.0,345.0,346.0,451.0,497.0,474.0,442.0
2012,183.0,231.0,255.0,250.0,323.0,332.0,374.0,434.0,357.0,354.0
2013,211.0,258.0,332.0,243.0,356.0,405.0,455.0,525.0,422.0,424.0
2014,157.0,174.0,175.0,199.0,199.0,250.0,303.0,366.0,244.0,280.0
2015,186.0,225.0,249.0,229.0,292.0,366.0,425.0,443.0,410.0,382.0
2016,196.0,249.0,277.0,308.0,368.0,427.0,561.0,627.0,466.0,526.0
2017,141.0,192.0,197.0,220.0,256.0,297.0,393.0,491.0,349.0,386.0
2018,107.0,135.0,159.0,159.0,196.0,231.0,257.0,302.0,232.0,273.0
2019,165.0,209.0,231.0,218.0,256.0,314.0,398.0,423.0,336.0,363.0
2020,246.0,362.0,384.0,460.0,531.0,538.0,696.0,812.0,784.0,739.0
