year,1,2,3,4,5,6,7,8,9,10
2007,5796,6523,7326,7786,8027,8499,8520,8930,8966,9427
2008,6679,7092,8098,8373,8272,8868,9027,9307,9372,9626
2009,8083,8764,10150,11053,11217,11760,12116,12132,12642,13214
2010,6064,7283,8311,9176,9209,9908,9728,9778,10270,10791
2011,6197,7354,8297,8970,9508,10047,10233,10363,10621,11415
2012,5692,6624,7452,8129,8391,8623,8754,8886,8940,9507
2013,5846,6967,7888,8709,9026,9297,9415,9785,9572,10031
2014,4059,4766,5242,5771,5831,6054,5910,6170,5942,5979
2015,4517,5508,6584,7229,7502,7927,7641,7717,7523,7753
2016,4928,6526,8297,9490,9918,10469,10059,10002,10010,10504
2017,3896,5228,6513,7128,7532,7913,7647,7927,7790,8221
2018,3368,4181,4754,5476,5762,6037,6019,6084,6142,6650
2019,3889,4515,5492,6473,7212,7480,7720,7790,8098,8458
2020,7739,11055,13236,14441,16041,16733,16851,17216,17678,19279
