gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,23866,31954,37303,36127,32911,32852,33048,33468,31385,34157
Male Representatives,56282,62212,69112,82256,91055,100105,102398,107035,110992,120739
