gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,4081,2666,2366,2499,2342,2395,2842,2922,3259,4140
Male Sender,5172,3802,3639,3653,3473,3413,3652,3778,4351,4849
