gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,1366,1453,1433,1296,1571,1875,1851,2123,2370,2350
Male Sender,1948,2177,1980,1913,2507,2699,3406,2901,3254,3459
