year,1,2,3,4,5,6,7,8,9,10
2007,8681,7842,7429,7195,7405,7314,7507,7974,8677,9776
2008,9301,8268,7816,7646,7857,7715,8079,8533,9170,10329
2009,12523,11151,10370,10279,10049,10148,10313,11004,11863,13431
2010,10223,8925,8347,8177,8172,8310,8436,8967,9839,11122
2011,11755,9942,9348,8748,8720,8524,8357,8657,8975,9979
2012,9193,8104,7640,7496,7757,7436,7507,7822,8391,9652
2013,10232,8770,8285,7984,8241,7870,8176,8350,8938,9690
2014,6302,5357,5204,5183,5335,5139,5239,5614,5899,6452
2015,7864,6590,6508,6153,6587,6437,6584,6939,7536,8703
2016,10583,8509,8271,7643,7933,8060,8486,9075,10147,11496
2017,8124,6578,6301,6018,6352,6087,6510,7000,7714,9111
2018,6983,5562,5548,5041,5011,4777,5052,5217,5440,5842
2019,9247,7092,6693,6225,6185,5945,5983,6542,6457,6758
2020,18589,15557,14224,13908,13654,13450,13732,14600,15417,17138
