gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,23816,29379,33910,32498,32545,30268,30038,30192,27863,30970
Male Representatives,49612,57358,65224,75525,83673,87939,93615,95456,100879,102809
