year,1,2,3,4,5,6,7,8,9,10
2007,193.0,277.0,236.0,294.0,341.0,345.0,363.0,331.0,357.0,458.0
2008,228.0,283.0,276.0,356.0,425.0,436.0,493.0,441.0,415.0,584.0
2009,275.0,339.0,415.0,446.0,514.0,558.0,528.0,524.0,583.0,677.0
2010,211.0,179.0,292.0,312.0,339.0,401.0,410.0,425.0,405.0,447.0
2011,176.0,192.0,313.0,283.0,400.0,376.0,423.0,494.0,427.0,422.0
2012,187.0,203.0,289.0,287.0,329.0,337.0,358.0,434.0,323.0,349.0
2013,202.0,268.0,307.0,321.0,371.0,413.0,404.0,485.0,404.0,455.0
2014,149.0,174.0,192.0,218.0,228.0,253.0,258.0,359.0,245.0,270.0
2015,186.0,224.0,240.0,273.0,336.0,348.0,416.0,445.0,333.0,403.0
2016,195.0,249.0,288.0,338.0,426.0,472.0,511.0,601.0,447.0,478.0
2017,138.0,202.0,200.0,239.0,273.0,345.0,392.0,487.0,298.0,347.0
2018,104.0,131.0,155.0,182.0,228.0,269.0,248.0,284.0,202.0,248.0
2019,156.0,216.0,211.0,290.0,295.0,346.0,353.0,376.0,317.0,352.0
2020,257.0,338.0,383.0,473.0,581.0,660.0,698.0,775.0,645.0,743.0
