year,1,2,3,4,5,6,7,8,9,10
2007,8419,8796,8694,8586,8065,7835,7694,7399,7057,7255
2008,9216,9392,9190,9129,8703,8233,8082,7776,7393,7600
2009,12177,12053,11922,11480,11156,10672,10715,10385,10150,10421
2010,10516,10311,9763,9612,9173,8722,8464,8193,7906,7858
2011,10249,10008,9743,9291,9101,9007,8942,8795,8826,9043
2012,8691,8769,8764,8471,8328,7986,7705,7422,7407,7455
2013,9936,9728,9117,8995,8709,8313,8220,7887,7940,7691
2014,6172,6161,6042,6003,5516,5543,5410,5005,5082,4790
2015,8340,8307,8102,7507,6893,6721,6465,6014,5810,5742
2016,11041,10700,10276,9845,9179,8629,8433,7757,7448,6895
2017,8100,8114,7891,7675,7119,6955,6737,6121,5728,5355
2018,6238,6056,5854,5831,5227,5191,5467,5019,4820,4770
2019,7944,7655,7216,7113,6413,6534,6195,5976,6087,5994
2020,16975,17057,16339,15829,15015,14618,14206,13688,13361,13181
