gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,595.0,633.0,835.0,773.0,765.0,1002.0,1035.0,878.0,1108.0,1326.0
Male Representatives,1724.0,2396.0,2506.0,2886.0,3119.0,4427.0,4549.0,4785.0,4595.0,5419.0
