gender_of_rep,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female Representatives,26435,28675,31003,23302,23692,43053,29796,16469,23147,30389,33004,20882
Male Representatives,75697,82477,85899,70342,68372,96736,81422,47558,63867,88018,88599,60734
