answer_survey,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,25752,30766,38750,35278,37125,35287,46932,23717,33257,41852,32407,23105,29436,74314
Yes,62557,63825,85285,64532,65115,54170,49489,38314,46329,58515,46351,38012,45829,93878
