gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,17813,19625,22082,23803,24237,27361,29979,31559,39620,65400
Male Representatives,44466,53741,62006,68252,76961,83985,92034,99325,109120,122200
