year,Urban,Rural,More Rural
2007,71904,8027,8378
2008,76641,8636,9314
2009,100070,11508,12457
2010,80257,9336,10217
2011,80470,10488,11282
2012,71862,8622,8973
2013,76280,9555,10586
2014,49630,6005,6396
2015,63282,7724,8580
2016,78756,10123,11488
2017,62286,7697,8775
2018,47587,6388,7142
2019,57166,8506,9593
2020,131950,17576,18666
