gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,559.0,651.0,868.0,878.0,947.0,885.0,932.0,1012.0,1065.0,1153.0
Male Representatives,1909.0,2396.0,2653.0,3171.0,3687.0,4276.0,4518.0,5129.0,3996.0,4715.0
