year,1,2,3,4,5,6,7,8,9,10
2007,10945,8040,7744,8116,7528,7552,7675,7562,7207,7431
2008,11646,8749,8309,8588,7946,7884,7851,7903,7820,8018
2009,15037,11489,10796,11062,10479,10338,10450,10545,10333,10602
2010,12637,9045,8454,8943,8495,8625,8511,8580,8466,8762
2011,10908,8570,8314,9026,8832,9157,9079,9732,9394,9993
2012,11248,8379,7335,7702,7732,7768,7482,7935,7550,7867
2013,10541,8371,7983,8579,8576,8126,8212,8621,8271,9256
2014,7271,5589,5267,5525,5475,5259,5047,5184,5403,5704
2015,9705,6873,6593,6628,6553,6353,6368,6513,6901,7414
2016,13952,8550,7883,8235,8072,8064,8281,8253,8819,10094
2017,11077,7298,6280,6338,6155,6053,6372,6531,6456,7235
2018,6634,5152,4844,5046,5007,5121,5429,5406,5486,6348
2019,7770,6092,5555,6227,6265,6217,6810,6935,7106,8150
2020,20220,13979,13150,13930,13475,14288,14306,14905,15242,16774
