gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,23107,24820,24460,24212,25419,25730,28735,33733,40023,51240
Male Representatives,107148,86941,81297,77192,78663,75502,74855,75607,76586,78299
