gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,33760,32911,35266,34508,33065,29914,27394,25784,24970,23907
Male Representatives,64779,68193,69382,74738,76905,81907,87759,92817,94782,100828
