gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,51695,51198,49371,47868,44905,43320,42417,40022,37960,35832
Male Sender,68931,68192,65216,63802,60132,58743,58020,56312,56173,58731
