answer_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,37873,42532,47106,34268,35110,64647,45480,25582,39439,49427,53330,33184
Yes,70023,75092,77053,64512,62793,86788,73270,42283,53452,76845,76797,53293
