year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,6137.0,6494.0,11196.0,5594.0,9048.0,5691.0,6014.0,5011.0,7541.0,7446.0,8979.0,9158.0
2008,8634.0,8719.0,10848.0,8897.0,8463.0,7538.0,7279.0,5759.0,6043.0,8005.0,7593.0,6813.0
2009,18174.0,8832.0,11286.0,27341.0,10404.0,7835.0,8321.0,4959.0,4818.0,8806.0,7677.0,5582.0
2010,7353.0,8424.0,10108.0,2625.0,5529.0,9926.0,9397.0,6754.0,7392.0,8903.0,13033.0,10366.0
2011,8838.0,10315.0,8424.0,5932.0,7707.0,7938.0,7305.0,6858.0,7254.0,19609.0,8038.0,4022.0
2012,6503.0,14663.0,9574.0,6312.0,5223.0,7611.0,6061.0,4219.0,5735.0,8776.0,8406.0,6374.0
2013,7903.0,11669.0,6668.0,6087.0,4940.0,8738.0,11172.0,7151.0,8800.0,6385.0,6198.0,10710.0
2014,5499.0,8018.0,4886.0,4008.0,3347.0,4847.0,6715.0,4755.0,4381.0,5995.0,6673.0,2907.0
2015,5781.0,5541.0,3920.0,,2900.0,9654.0,17357.0,2626.0,11546.0,5183.0,8297.0,6781.0
2016,4860.0,8020.0,6002.0,6494.0,4562.0,12103.0,15850.0,3648.0,4037.0,11416.0,16311.0,7064.0
2017,11379.0,11168.0,7801.0,3568.0,186.0,9761.0,4004.0,2471.0,7067.0,7460.0,9130.0,4763.0
2018,4954.0,3712.0,4496.0,4458.0,3832.0,4924.0,5585.0,3205.0,3865.0,6633.0,9167.0,6286.0
2019,6044.0,6281.0,13096.0,6890.0,5993.0,9561.0,4818.0,5723.0,5291.0,11018.0,550.0,
2020,5837.0,5768.0,15854.0,10574.0,25769.0,45308.0,8872.0,4726.0,9121.0,10637.0,20075.0,5651.0
