gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,61262,41511,26343,23632,23057,22595,23405,23534,26787,29353
Male Representatives,67790,89485,78489,77795,76350,81753,83739,86907,87995,81787
