year,Female,Male
2007,30191,48758
2008,32333,52132
2009,38440,71504
2010,34439,54620
2011,32711,58306
2012,29512,49789
2013,33400,52561
2014,23450,32001
2015,31281,39754
2016,42587,47449
2017,33916,35914
2018,23081,31678
2019,31274,36371
2020,79640,75197
