gender_of_rep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Representatives,3659,1904,1064,858,840,1628,3874,8465,15052,21241,24270,25307,24371,23701,22991,22228,22023,20452,18342,17463,16645,14945,11446,7078
Male Representatives,9518,4924,2968,2094,2228,4395,10972,23926,42397,59424,67733,68649,66271,65204,62054,61838,60526,56689,51407,49683,46652,41006,30818,18345
