year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2007,983,532,283,182,204,364,785,1778,3695,5611,6672,6775,6693,6733,6488,6333,6104,5177,4691,4693,4548,4037,3086,1862
2008,1145,582,339,207,196,373,838,2001,4273,6426,7398,7628,7645,7301,6922,6457,5855,5338,4736,4939,4666,4198,3154,1974
2009,1372,750,381,261,306,648,1722,3475,5358,8872,10175,10292,9509,8967,8405,8185,7446,7054,6533,6343,6016,5410,3968,2587
2010,1167,622,323,232,199,357,790,1930,3990,6318,7796,8153,7775,7227,7040,6928,6768,6155,5405,5220,5087,4588,3617,2123
2011,983,505,281,207,211,414,964,2487,5087,6733,7625,7813,7406,7582,7499,7543,6990,6101,5721,5432,5010,4330,3292,2024
2012,1006,525,339,218,190,323,774,1785,3575,5391,6371,7169,7063,6862,6387,6019,5895,5232,4996,5115,4775,4119,3257,2071
2013,1086,550,284,235,264,441,1045,2432,4120,5572,6716,6561,6493,6211,6544,7096,7362,7083,5949,5565,5125,4453,3236,1998
2014,657,382,202,153,158,251,591,1399,2517,3876,4504,4774,4931,4734,4283,4057,4209,3740,3550,3391,3313,2884,2210,1265
2015,959,505,337,212,212,468,1148,2177,4372,5219,5318,5176,5154,5233,4822,5356,4988,4884,4653,4675,4514,4095,3141,1968
2016,1066,521,336,267,299,610,1397,2904,4718,6540,7104,6979,6501,7967,7069,6946,6919,6402,5498,5319,5081,4457,3409,2058
2017,786,394,312,311,234,399,1191,2476,3894,4798,5540,5549,5628,5009,5021,5069,5018,5285,4819,4391,4178,3841,2939,1676
2018,629,334,190,140,189,386,885,1817,3136,4277,4976,4468,4164,4061,3981,3864,3824,3415,3576,3405,3209,2812,2165,1214
2019,669,334,223,183,234,535,1344,2787,4270,5003,5075,4989,4634,4370,4439,4590,5506,5884,4727,4339,3891,3481,2427,1331
2020,1485,735,454,340,373,857,2418,5209,8294,11082,12632,13626,12836,12399,11459,11085,11168,10503,9564,8677,8057,6938,5129,2872
