year,1,2,3,4,5,6,7,8,9,10
2007,6311,7049,7703,8314,8730,9108,9331,9954,10157,10998
2008,7248,7743,8593,8970,9260,9652,9991,10403,10743,11306
2009,8794,9540,10795,11898,12260,12873,13543,13548,14411,15436
2010,6609,7796,8740,9761,9932,10726,10749,10900,11554,12390
2011,6756,7870,8703,9595,10210,10940,11197,11563,11881,12956
2012,6312,7132,7842,8638,9010,9381,9712,9828,10050,10967
2013,6443,7600,8372,9354,9849,10125,10550,10923,10850,11652
2014,4463,5161,5511,6209,6279,6726,6621,6969,6623,7042
2015,5109,6053,7066,7828,8231,8883,8699,8873,8764,9473
2016,5433,7059,8680,10197,10721,11383,11196,11325,11369,12289
2017,4331,5669,6834,7690,8254,8712,8652,8974,8980,9950
2018,3699,4543,4996,5907,6182,6508,6645,6820,6942,7753
2019,4289,4951,5818,6928,7639,8290,8387,8816,9062,9828
2020,8618,12035,13941,15524,17357,18198,18823,19495,20023,22549
