gender_of_rep,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Female Representatives,19192,20382,25663,22325,21848,19995,21187,13922,21513,28536,23448,17579,22203,52054
Male Representatives,66173,70915,94266,73505,76105,65758,71187,45413,52254,63299,48158,37611,45921,99156
