year,No,Yes
2007,33277,29280
2008,34746,29079
2009,47861,37424
2010,38649,25883
2011,39385,25730
2012,32727,21443
2013,34406,15083
2014,25162,13152
2015,31214,15115
2016,40503,18012
2017,31784,14567
2018,24081,13931
2019,31561,14268
2020,54314,39564
