gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,19549,19588,23281,25275,31006,34692,37034,33610,35567,41877
Male Representatives,49815,62422,68951,78305,79752,82588,88651,95035,97569,109002
