gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,70876,37767,31917,28208,27616,29312,29039,26719,25883,22110
Male Representatives,83819,86098,81378,82633,87412,87109,89203,93307,99747,118267
