gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,4620,2541,2220,2442,2515,2737,2968,3202,3098,3176
Male Sender,5442,2948,2760,3316,3358,3664,4299,4422,4586,4996
