got_response,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,43975,47044,47404,36533,37725,52076,46763,24905,32525,50410,47641,32669
Yes,26048,28048,29649,27979,25068,34712,26507,17378,20927,26435,29156,20624
