year,1,2,3,4,5,6,7,8,9,10
2007,5829,6480,7008,7823,8195,8244,8565,8684,9413,9559
2008,6583,7228,7860,8239,8375,8542,9223,9168,9607,9889
2009,8034,8861,9828,10904,11379,11672,11901,12276,12711,13565
2010,6051,7232,8237,8818,9412,9425,9704,10254,10443,10942
2011,6222,7393,8160,8717,9522,9760,10193,10902,10880,11256
2012,5865,6541,7367,7875,8405,8563,8761,8857,9241,9523
2013,5880,6968,7756,8461,9061,9088,9634,9668,9861,10159
2014,4107,4736,5096,5738,5941,5863,6135,5974,6070,6064
2015,4636,5610,6299,7108,7485,7549,7770,7825,7743,7876
2016,5003,6684,7962,9225,10030,9874,10177,10279,10381,10588
2017,4114,5212,6331,7044,7500,7736,7742,7946,7917,8253
2018,3473,4153,4673,5369,5586,5934,6010,6317,6333,6625
2019,3852,4597,5441,6279,6917,7515,7613,8174,8449,8290
2020,8064,10877,12675,14198,15806,16656,17011,17650,18002,19330
