gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,40099,49766,42738,32001,27065,23324,22928,21512,20883,21163
Male Representatives,89623,84717,83036,83035,81331,78345,77993,77264,78485,78261
