gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3335,1570,1321,1342,1334,1390,1432,1479,1617,1822
Male Representatives,7180,4131,3823,4517,4598,5247,5775,6263,5950,6141
