year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2007,14637,14024,16585,15677,12815,7116,7455
2008,16380,17088,15489,14734,13467,8179,9254
2009,18229,30673,18963,16536,20194,9989,9451
2010,15649,17776,18049,17033,14762,8541,8000
2011,14820,17237,19682,17054,16856,8265,8326
2012,15672,15298,14604,15027,13279,8154,7423
2013,13329,18082,16356,17732,14776,8333,7813
2014,10238,8661,8793,11718,10297,6085,6239
2015,11581,15165,14620,12381,10635,6422,8782
2016,14347,18744,12951,13824,18838,10893,10770
2017,11606,13441,16342,12907,10080,5789,8593
2018,10226,11050,10789,9242,8901,5135,5774
2019,9849,13000,16958,13735,10286,5718,5719
2020,26875,32861,28959,22982,18999,14946,22570
