answer_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,6002,3209,1943,1527,1415,2596,6276,13353,23702,32373,37004,37920,37335,36495,34452,34338,33069,30947,27925,27084,25980,23570,18195,11268
Yes,7991,4062,2341,1621,1854,3830,9616,21304,37597,53345,60898,62032,59097,58161,55907,55190,54983,51306,46493,44420,41490,36073,26835,15755
