gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,1907,1615,1676,1492,1701,1819,2084,1695,1977,1724
Male Sender,2474,2323,2580,2137,2630,2414,2785,2433,2823,3650
