gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,3104,1800,1405,1301,1594,1428,1599,1857,1649,1939
Male Sender,3905,3381,2041,2064,2345,2225,2183,2500,2519,3092
