year,1,2,3,4,5,6,7,8,9,10
2007,4942,5699,6392,6800,7478,8078,8862,9538,10372,11639
2008,5643,6335,6875,7221,7881,8539,9143,9752,10903,12422
2009,6929,7928,8974,9444,10378,11140,12363,13209,14358,16408
2010,5478,6088,7063,7774,8683,8821,10000,10965,11647,13999
2011,5682,6724,7590,8295,9070,9587,10392,11022,11741,12902
2012,4896,5942,6513,7026,7797,8036,8920,9645,10191,12032
2013,5121,6221,7009,7579,8587,8821,9621,10328,10733,12516
2014,3571,4124,4580,5006,5708,5721,6298,6309,6837,7570
2015,3719,4821,5329,6048,6965,7266,7841,8522,9120,10270
2016,4088,5261,6606,7514,8630,9357,10366,11432,12187,14762
2017,3365,4291,4972,5813,6770,6948,8151,8750,9429,11306
2018,3058,3799,4267,4748,5386,5675,5948,6784,7037,7771
2019,3267,4218,4990,5450,6371,6993,7768,8546,9135,10389
2020,6917,8894,10900,12765,14390,15698,17756,19026,20588,23335
