gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1240,1306,1458,1405,1481,1662,1736,1870,2079,2405
Male Representatives,3031,3187,3510,4266,5088,5996,6500,7091,7167,7789
