gender_of_sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Sender,4504,2188,1233,920,967,2132,5727,12862,22811,32288,36171,37156,36692,35916,34582,33755,33289,31195,28441,27529,26242,23335,16820,9500
Male Sender,7813,4167,2495,1849,1906,3599,8562,18445,32396,44701,51413,52357,49672,48840,46240,46359,45751,42596,38549,36745,34203,29913,23113,14350
