gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,50403,49349,50756,49124,44221,42132,40544,39784,39888,38387
Male Sender,65648,65101,67377,66594,61566,58391,57958,57728,57232,56657
