gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,43230,33490,34803,31627,28308,25618,25218,25321,25490,28374
Male Representatives,82296,87580,88008,89451,82609,79478,77942,77041,76403,71282
