year,1,2,3,4,5,6,7,8,9,10
2007,6332.0,6998.0,7486.0,8107.0,8694.0,9153.0,9662.0,10109.0,10490.0,11277.0
2008,7291.0,7665.0,8345.0,8705.0,9297.0,9658.0,10352.0,10637.0,11017.0,11622.0
2009,8832.0,9450.0,10475.0,11551.0,12283.0,12972.0,13927.0,13842.0,14859.0,15841.0
2010,6629.0,7717.0,8466.0,9466.0,9937.0,10826.0,11022.0,11180.0,11873.0,12694.0
2011,6767.0,7804.0,8437.0,9236.0,10159.0,10944.0,11507.0,11855.0,12238.0,13290.0
2012,6325.0,7070.0,7674.0,8317.0,8946.0,9548.0,9880.0,10097.0,10295.0,11305.0
2013,6465.0,7523.0,8104.0,9115.0,9702.0,10410.0,10735.0,11239.0,11162.0,11966.0
2014,4472.0,5133.0,5349.0,6040.0,6233.0,6814.0,6841.0,7035.0,6861.0,7251.0
2015,5118.0,6028.0,6826.0,7683.0,8170.0,8971.0,8942.0,9080.0,9044.0,9723.0
2016,5437.0,7037.0,8343.0,9888.0,10697.0,11524.0,11491.0,11665.0,11625.0,12637.0
2017,4351.0,5638.0,6596.0,7497.0,8219.0,8779.0,8806.0,9291.0,9212.0,10211.0
2018,3720.0,4514.0,4885.0,5803.0,6208.0,6701.0,6736.0,7014.0,7143.0,7969.0
2019,4312.0,4925.0,5641.0,6729.0,7631.0,8384.0,8565.0,9053.0,9288.0,10098.0
2020,8681.0,11978.0,13606.0,15205.0,17269.0,18504.0,19227.0,20018.0,20580.0,23116.0
