gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,77019,32651,24588,27157,26346,25291,23347,24104,21461,19515
Male Representatives,71241,77631,78685,79734,78152,78919,82673,85699,86714,92642
